partition,entry_tf,higher_tf,higher_state_at_entry,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,strong_bars,healthy_bars,strong_frac,healthy_frac,exit_reason
external,5m,1h,STRONG_BEAR,2021-02-26 10:55:00+00:00,2021-02-26 11:00:00+00:00,2021-02-26 11:15:00+00:00,46704.49,46416.75,-0.006160863762777358,0.0033290161181505074,-0.006632124662960703,3,2,0,0.6666666666666666,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-03-17 17:15:00+00:00,2021-03-17 17:20:00+00:00,2021-03-17 21:00:00+00:00,55325.01,57764.38,0.04409163233770763,0.055783812781958764,-0.0013558063523170238,44,29,14,0.6590909090909091,0.3181818181818182,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-03-23 02:30:00+00:00,2021-03-23 02:35:00+00:00,2021-03-23 02:50:00+00:00,54988.99,54910.0,-0.0014364693732327183,0.0025543295121441822,-0.002004037535513925,3,2,0,0.6666666666666666,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-03-23 09:45:00+00:00,2021-03-23 09:50:00+00:00,2021-03-23 11:45:00+00:00,54585.9,54652.76,0.0012248584341376656,0.0053424052731565475,-0.0017819620085041121,23,12,10,0.5217391304347826,0.43478260869565216,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-03-25 06:35:00+00:00,2021-03-25 06:40:00+00:00,2021-03-25 07:25:00+00:00,52955.49,52781.81,-0.0032797354910699683,0.0032954090312449225,-0.0037503193719857775,9,5,3,0.5555555555555556,0.3333333333333333,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-03-25 10:25:00+00:00,2021-03-25 10:30:00+00:00,2021-03-25 10:50:00+00:00,52897.4,52769.93,-0.0024097592698317793,0.002533583881249246,-0.002565910611863731,4,3,0,0.75,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-03-25 10:50:00+00:00,2021-03-25 10:55:00+00:00,2021-03-25 11:30:00+00:00,52895.96,52755.12,-0.0026625851955422997,0.004995466572494278,-0.0032669791795062464,7,5,1,0.7142857142857143,0.14285714285714285,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-03-25 18:30:00+00:00,2021-03-25 18:35:00+00:00,2021-03-25 19:25:00+00:00,52053.76,51761.91,-0.005606703531118584,0.010147970098605796,-0.007471314272014196,10,8,1,0.8,0.1,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-04-04 04:35:00+00:00,2021-04-04 04:40:00+00:00,2021-04-04 05:30:00+00:00,57489.54,57522.57,0.0005745392988010245,0.0036434453989369064,-4.2442503453754554e-05,10,7,2,0.7,0.2,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-04-04 05:55:00+00:00,2021-04-04 06:00:00+00:00,2021-04-04 06:10:00+00:00,57536.13,57429.41,-0.0018548345187622273,0.0011100850891432312,-0.0019175777029145635,2,1,0,0.5,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-04-04 07:30:00+00:00,2021-04-04 07:35:00+00:00,2021-04-04 07:40:00+00:00,57466.58,57390.0,-0.0013326006176112015,0.00019663602740926933,-0.0017110814668281904,1,0,0,0.0,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-04-04 08:15:00+00:00,2021-04-04 08:20:00+00:00,2021-04-04 08:50:00+00:00,57592.97,57545.41,-0.0008257952316055306,0.0016920467897383329,-0.0010060255618004055,6,5,0,0.8333333333333334,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-04-04 09:10:00+00:00,2021-04-04 09:15:00+00:00,2021-04-04 09:30:00+00:00,57643.0,57541.83,-0.001755113370227046,0.0018656211508769616,-0.0020956577554950284,3,2,0,0.6666666666666666,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-04-04 09:40:00+00:00,2021-04-04 09:45:00+00:00,2021-04-04 10:15:00+00:00,57718.82,57615.63,-0.001787805086798433,0.0020923851180603137,-0.0018782435261149866,6,4,1,0.6666666666666666,0.16666666666666666,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-04-07 22:00:00+00:00,2021-04-07 22:05:00+00:00,2021-04-07 23:40:00+00:00,56294.99,56383.11,0.0015653257954215682,0.0058326682356635295,-0.0009848123252175212,19,16,2,0.8421052631578947,0.10526315789473684,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-04-16 15:15:00+00:00,2021-04-16 15:20:00+00:00,2021-04-16 16:25:00+00:00,61318.08,61420.02,0.001662478668607914,0.007124978472907273,-0.0011096237846978108,13,8,4,0.6153846153846154,0.3076923076923077,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-04-17 21:15:00+00:00,2021-04-17 21:20:00+00:00,2021-04-17 21:50:00+00:00,60851.75,60737.98,-0.001869625770828276,0.003014046432518347,-0.0020249212224792146,6,4,1,0.6666666666666666,0.16666666666666666,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-04-20 05:30:00+00:00,2021-04-20 05:35:00+00:00,2021-04-20 05:40:00+00:00,55121.89,54862.54,-0.004705027349388713,0.00046841644943595995,-0.004705390181650171,1,0,0,0.0,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-04-22 05:35:00+00:00,2021-04-22 05:40:00+00:00,2021-04-22 07:10:00+00:00,54224.68,54366.27,0.002611172624716218,0.011439809326675654,-0.0015616505251851986,18,13,4,0.7222222222222222,0.2222222222222222,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-04-29 22:30:00+00:00,2021-04-29 22:35:00+00:00,2021-04-30 00:10:00+00:00,53195.0,53262.66,0.0012719240530125742,0.008891061189961524,-0.0005496757214022985,19,18,0,0.9473684210526315,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-05-04 06:55:00+00:00,2021-05-04 07:00:00+00:00,2021-05-04 07:35:00+00:00,56118.12,56093.67,-0.0004356881520621858,0.004725033554224378,-0.0007608950549305993,7,6,0,0.8571428571428571,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-05-04 10:00:00+00:00,2021-05-04 10:05:00+00:00,2021-05-04 11:15:00+00:00,56249.16,56210.85,-0.0006810768374141407,0.007481711726895046,-0.002195588343008148,14,8,5,0.5714285714285714,0.35714285714285715,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-05-07 07:10:00+00:00,2021-05-07 07:15:00+00:00,2021-05-07 07:40:00+00:00,56184.5,56006.55,-0.003167243634810246,0.0026129982468474644,-0.004396586247096601,5,3,1,0.6,0.2,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-05-11 07:50:00+00:00,2021-05-11 07:55:00+00:00,2021-05-11 08:20:00+00:00,55663.9,55540.25,-0.00222136788834415,0.0044930376779204195,-0.0032744741205701366,5,4,0,0.8,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
