feature,lag_min,partition,bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
taker_imb_15m,60,validation_2026,HIGH,10091,0.2900604499058567,0.31790704588246954,-0.02784659597661282,0.3919334060053513,9.909820632246556e-05,-0.0002430133657350675,0.006331567385967185,-0.006854171590640501
quotevol_z_24h,15,development,LOW,23392,0.4056515047879617,0.3991108071135431,0.006540697674418616,0.19515218878248974,8.549931600547196e-05,0.00037967795397186865,0.00936625999605356,-0.009250562053453426
quotevol_z_24h,15,development,HIGH,23391,0.4300799452780984,0.4499166346030525,-0.019836689324954082,0.11867812406481125,0.0013252960540378778,0.00019759230121829674,0.011099380059016228,-0.011515839273727013
quotevol_z_24h,15,validation_2025,LOW,11623,0.37055837563451777,0.3844962574206315,-0.013937881786113715,0.24468725802288566,0.00025810892196506923,7.635919364679111e-05,0.008363578980590258,-0.00862693924894875
quotevol_z_24h,15,validation_2025,HIGH,11867,0.41754445099856746,0.44038088817729837,-0.022836437178730906,0.14030504761102217,0.0017696132131119913,0.0003010385831117013,0.010115900772671882,-0.01059113300492609
quotevol_z_24h,15,validation_2026,LOW,8050,0.2506832298136646,0.3036024844720497,-0.052919254658385095,0.44571428571428573,0.0,-0.0005446478166105662,0.005469560816975805,-0.006647061939980881
quotevol_z_24h,15,validation_2026,HIGH,8458,0.34133364861669424,0.35173799952707496,-0.010404350910380722,0.3063371955545046,0.0005911563017261764,0.0003891843914937132,0.007612975374582387,-0.00777454990483567
quotevol_z_24h,30,development,LOW,23392,0.4049675102599179,0.40321477428180574,0.001752735978112152,0.19168946648426813,0.00012824897400820793,0.0003589246485122821,0.009375497246616571,-0.009343736940184588
quotevol_z_24h,30,development,HIGH,23391,0.4246077551194904,0.45089991877217733,-0.02629216365268694,0.12316703005429439,0.0013252960540378778,0.000169664065150954,0.010926541159099301,-0.011386030216772536
quotevol_z_24h,30,validation_2025,LOW,11622,0.3723111340561005,0.38513164687661333,-0.01282051282051283,0.2424711753570814,8.604371020478404e-05,0.00023689197873544288,0.00837356727986871,-0.00869027613213652
quotevol_z_24h,30,validation_2025,HIGH,11867,0.4202410044661667,0.4374315328221117,-0.017190528355945034,0.14064211679447206,0.0016853459172495155,0.00020999580008407293,0.010075924217696652,-0.010428833639245738
