partition,feature,winner_mean,loser_mean,winner_median,loser_median,smd,abs_smd,auc_oriented,n
reference_validation,aligned_ret6,0.00015186853187451122,-0.00010339154788613896,0.00018616989253095184,-0.0001416868586396891,0.02064435217003971,0.02064435217003971,0.509815345261838,21186
reference_validation,aligned_ret12,0.0003749387026191455,-0.0002726005808537824,0.0001334062271933778,-0.00011099095899358424,0.03720965473934079,0.03720965473934079,0.5104394535100534,21186
reference_validation,aligned_ret24,0.0004067826658019958,-0.00030046277082519543,0.00044108563512290644,-0.00034700133017173673,0.02908164385180045,0.02908164385180045,0.512772513731517,21186
reference_validation,aligned_ret48,0.0006785925941451551,-0.00045013089767366893,0.0001619563420063308,-9.219548553129897e-05,0.035195623083189444,0.035195623083189444,0.5094955999759684,21186
reference_validation,eff3,0.009884848020360873,-0.006821244889979623,0.015701075822239067,-0.01014507645662614,0.02489978547653676,0.02489978547653676,0.5062458709315156,21186
reference_validation,eff6,0.009891798869235585,-0.007237012877377321,0.013322344747397663,-0.01031183127424375,0.035045218269518424,0.035045218269518424,0.5102542408491342,21186
reference_validation,eff12,0.008450738123300385,-0.006331136779056577,0.004278869437745179,-0.0035206937126815697,0.040898106009336,0.040898106009336,0.5103586518473796,21186
reference_validation,eff24,0.008537953982874985,-0.006362956381729646,0.006985823223641238,-0.005501510630906409,0.055712494251817915,0.055712494251817915,0.5150986877067545,21186
reference_validation,dirfrac3,0.5038751066117848,0.49744472684539914,0.6666666666666666,0.33333333333333337,0.02302801449957865,0.02302801449957865,0.504960605518302,21186
reference_validation,dirfrac6,0.5047836244298587,0.49655653029433466,0.5,0.5,0.04274768002254786,0.04274768002254786,0.5112275091435897,21186
reference_validation,dirfrac12,0.5034857418326102,0.4973012489409965,0.5,0.5,0.04729263987315353,0.04729263987315353,0.5140608072688989,21186
reference_validation,ema8_dist_aligned,0.019037446755262533,-0.0134013029014653,0.02490165084499757,-0.018282346699203977,0.04109367532436791,0.04109367532436791,0.5131769963293936,21186
reference_validation,ema21_dist_aligned,0.04814470442043772,-0.034966516713617043,0.06235789967536698,-0.04233796540187813,0.061577012821339636,0.061577012821339636,0.5179260071110023,21186
reference_validation,ema55_dist_aligned,0.0959304831452866,-0.06679794243934542,0.03330601418227408,-0.02132012455701702,0.0740324731845244,0.0740324731845244,0.5177738438715414,21186
reference_validation,ema8_slope3_aligned,9.514804205008943e-05,-6.734334414245598e-05,0.00010138163868478323,-6.783489767703266e-05,0.03389339300459309,0.03389339300459309,0.5135061680198657,21186
reference_validation,ema21_slope3_aligned,7.090694766709579e-05,-5.161538569900108e-05,8.951038661320077e-05,-6.31875337547827e-05,0.03946923063675578,0.03946923063675578,0.5134088120036813,21186
reference_validation,atr_pct,0.007159151196175898,0.007197695474634031,0.006494383860220549,0.0065388327913090604,-0.011814211533237523,0.011814211533237523,0.504578104183214,21186
reference_validation,tr_atr,0.9944262597443114,0.994671068816324,0.8493121005308184,0.8482748994378706,-0.00043830611255907075,0.00043830611255907075,0.5004089974215614,21186
reference_validation,trmean3_over24,0.9948457775985703,0.9988486875874886,0.8963185310678803,0.9012925320371185,-0.009233845584350002,0.009233845584350002,0.5029579209402931,21186
reference_validation,trmean6_over24,0.9977840605274957,1.0011185388614339,0.9401226631820802,0.9486843376153845,-0.01009586972726417,0.01009586972726417,0.5035325622263782,21186
reference_validation,range3_atr,1.7465621965983993,1.751622584860727,1.5467612391780658,1.5481004958433988,-0.006000175801991175,0.006000175801991175,0.5014922997219424,21186
reference_validation,range6_atr,2.50144487758969,2.5116360805952374,2.321651694425235,2.331500576566334,-0.010194786401245326,0.010194786401245326,0.5031765752194755,21186
reference_validation,range12_atr,3.6126362482223313,3.6222494282236184,3.452184498850262,3.466319800929214,-0.009409970109717513,0.009409970109717513,0.503637981079204,21186
reference_validation,range24_atr,5.407458121145716,5.402992408609755,5.110273011623286,5.113009728312912,0.0026053318508731495,0.0026053318508731495,0.5014595284865901,21186
reference_validation,range_vs_med12,1.1843325821609993,1.1822559761109084,0.9474217233521667,0.9468952888296839,0.0025687801089770866,0.0025687801089770866,0.5002116768243967,21186
reference_validation,body_aligned,0.0030659922542645925,-0.0021454321100773032,0.0,0.0012458148407624894,0.010242785841923145,0.010242785841923145,0.5028748618657771,21186
reference_validation,supportive_wick,0.27510982974693293,0.28182970240420624,0.2371311651949042,0.24633821571238562,-0.032618960866175155,0.032618960866175155,0.5096693933252646,21186
reference_validation,opposing_wick,0.283103926035613,0.2762886174428616,0.24755954705196132,0.23977812995246103,0.03309396580356596,0.03309396580356596,0.5101017903027114,21186
reference_validation,close_loc_aligned,0.4975359479827922,0.5016978264256337,0.4959686206145162,0.5030740443731466,-0.014347199873085676,0.014347199873085676,0.5041498617556427,21186
reference_validation,sweep_reclaim3,0.1470686394482145,0.15175862917110766,0.0,0.0,-0.013142605165631326,0.013142605165631326,0.5023449948614466,21186
reference_validation,sweep_reclaim6,0.10090110134608966,0.10289415430023777,0.0,0.0,-0.00658371225490682,0.00658371225490682,0.500996526477074,21186
reference_validation,breakout3,0.13772388474802535,0.1338033942772813,0.0,0.0,0.011455645506952687,0.011455645506952687,0.501960245235372,21186
reference_validation,breakout6,0.0924463232840138,0.09223579568746414,0.0,0.0,0.0007272160593845516,0.0007272160593845516,0.5001052637982749,21186
reference_validation,pos12_aligned,0.5051465371556138,0.49624012809651363,0.5075274472421278,0.4940542809177418,0.03171138844647504,0.03171138844647504,0.509059814600544,21186
