clock_min,clock,partition,windows,k1,executed,wr,pf,exp,net,tp_rate,time_rate
1020,17:00,reference_validation,410,80,27,0.5185185185185185,0.5997803032846188,-0.9797447298776865,-26.453107706697534,0.4074074074074074,0.48148148148148145
1020,17:00,august,13,2,0,,,,0.0,,
1050,17:30,external,522,119,42,0.47619047619047616,0.42359275805774144,-2.349398477051453,-98.67473603616102,0.38095238095238093,0.30952380952380953
1050,17:30,development,781,153,47,0.5957446808510638,0.8615887739979816,-0.23479651732453155,-11.035436314252983,0.48936170212765956,0.3617021276595745
1050,17:30,reference_validation,410,74,27,0.2962962962962963,0.40659159297662767,-1.3144065417308672,-35.48897662673342,0.2962962962962963,0.5925925925925926
1050,17:30,august,13,3,0,,,,0.0,,
1080,18:00,external,522,122,41,0.4634146341463415,0.4360854699874336,-2.085729162247266,-85.51489565213791,0.3170731707317073,0.34146341463414637
1080,18:00,development,781,145,45,0.37777777777777777,0.3112454153476445,-1.7274783992068705,-77.73652796430918,0.35555555555555557,0.4666666666666667
1080,18:00,reference_validation,410,85,26,0.4230769230769231,0.45398858655492735,-1.2034947570455103,-31.290863683183268,0.38461538461538464,0.46153846153846156
1080,18:00,august,13,3,0,,,,0.0,,
1110,18:30,external,522,108,42,0.5476190476190477,0.8752291404514743,-0.37669845540878855,-15.82133512716912,0.4523809523809524,0.3333333333333333
1110,18:30,development,782,127,45,0.5333333333333333,0.5813499049037361,-1.033191978842919,-46.49363904793135,0.4444444444444444,0.35555555555555557
1110,18:30,reference_validation,410,92,29,0.4482758620689655,0.4484422215490209,-1.4771845957199268,-42.83835327587788,0.27586206896551724,0.4827586206896552
1110,18:30,august,14,3,0,,,,0.0,,
1140,19:00,external,522,100,25,0.48,0.31352781021838894,-3.0008911672696614,-75.02227918174154,0.36,0.36
1140,19:00,development,782,118,38,0.47368421052631576,0.4450729381662277,-1.7594564421282628,-66.85934480087398,0.4473684210526316,0.34210526315789475
1140,19:00,reference_validation,410,81,27,0.37037037037037035,0.3147206221122698,-1.8671846287221854,-50.413984975499005,0.25925925925925924,0.4444444444444444
1140,19:00,august,14,3,0,,,,0.0,,
1170,19:30,external,522,95,30,0.5333333333333333,0.5591763728392617,-1.3466148939365097,-40.39844681809529,0.4,0.43333333333333335
1170,19:30,development,782,139,39,0.5384615384615384,0.8368542573812758,-0.25653769184932695,-10.00496998212375,0.46153846153846156,0.38461538461538464
1170,19:30,reference_validation,410,93,28,0.6428571428571429,1.08851539652845,0.15169401349232584,4.247432377785123,0.4642857142857143,0.42857142857142855
1170,19:30,august,14,3,1,1.0,inf,1.2940239043825579,1.2940239043825579,1.0,0.0
1200,20:00,external,522,76,23,0.6521739130434783,0.6005250491793623,-1.1856065692622502,-27.268951093031752,0.4782608695652174,0.30434782608695654
1200,20:00,development,782,145,44,0.5454545454545454,0.954994476428781,-0.06315941417907557,-2.7790142238793254,0.5227272727272727,0.3409090909090909
1200,20:00,reference_validation,410,86,26,0.5,0.7361163871789238,-0.6486474551296468,-16.864833833370817,0.34615384615384615,0.4230769230769231
1200,20:00,august,14,4,1,1.0,inf,0.04773745460324752,0.04773745460324752,1.0,0.0
1230,20:30,external,522,85,22,0.36363636363636365,0.44167036183567066,-2.6045520150419685,-57.30014433092331,0.36363636363636365,0.3181818181818182
1230,20:30,development,782,147,38,0.5526315789473685,0.8031389680939516,-0.27619330906329337,-10.495345744405148,0.4473684210526316,0.42105263157894735
1230,20:30,reference_validation,410,72,13,0.6153846153846154,2.352735025403209,1.7586490783373019,22.862438018384925,0.5384615384615384,0.3076923076923077
1230,20:30,august,14,5,2,0.5,0.020550328896517804,-1.1376079294378334,-2.275215858875667,0.5,0.5
1260,21:00,external,522,75,20,0.5,0.924314534573463,-0.2062200194998279,-4.124400389996558,0.4,0.45
1260,21:00,development,782,150,43,0.5813953488372093,1.0569223786582342,0.0926596942147334,3.984366851233536,0.4883720930232558,0.3953488372093023
1260,21:00,reference_validation,410,78,18,0.4444444444444444,0.775805643755038,-0.3950890291231519,-7.1116025242167344,0.4444444444444444,0.3333333333333333
1260,21:00,august,14,3,0,,,,0.0,,
1290,21:30,external,522,66,24,0.5833333333333334,1.5155709674183104,1.0707740291188175,25.698576698851618,0.5416666666666666,0.375
1290,21:30,development,782,161,48,0.5625,1.124903556313947,0.15805132854255463,7.586463770042622,0.4791666666666667,0.4375
1290,21:30,reference_validation,410,75,20,0.6,1.1874256287994576,0.24472084313046977,4.894416862609395,0.5,0.3
1290,21:30,august,14,2,1,0.0,0.0,-3.332637713453201,-3.332637713453201,0.0,1.0
1320,22:00,external,522,73,26,0.6923076923076923,1.7466670989595527,1.3364155630924293,34.74680464040316,0.6153846153846154,0.2692307692307692
1320,22:00,development,782,162,47,0.48936170212765956,0.7772661592569711,-0.3313180390660298,-15.571947836103401,0.3617021276595745,0.5531914893617021
1320,22:00,reference_validation,410,72,16,0.5,0.6009145689094694,-0.8472270783742459,-13.555633253987935,0.4375,0.375
1320,22:00,august,14,4,1,0.0,0.0,-2.807708953784837,-2.807708953784837,0.0,1.0
1350,22:30,external,522,85,30,0.6666666666666666,2.251131058952517,1.5817288160733431,47.45186448220029,0.6,0.26666666666666666
1350,22:30,development,782,167,52,0.6923076923076923,1.6153299139363404,0.5778234598596392,30.04681991270124,0.5384615384615384,0.4230769230769231
1350,22:30,reference_validation,410,87,21,0.5714285714285714,0.7458150741006951,-0.4653312043654418,-9.771955291674278,0.5238095238095238,0.2857142857142857
1350,22:30,august,14,1,1,0.0,0.0,-3.554928973924942,-3.554928973924942,0.0,1.0
1380,23:00,external,522,71,25,0.8,10.009924657018635,2.6777133706700447,66.94283426675112,0.64,0.32
1380,23:00,development,782,170,46,0.6739130434782609,1.1108361385761187,0.1543250532405259,7.098952449064191,0.5217391304347826,0.391304347826087
1380,23:00,reference_validation,410,81,22,0.6363636363636364,0.986361492711612,-0.021463850879511404,-0.4722047193492509,0.5454545454545454,0.3181818181818182
1380,23:00,august,14,1,1,0.0,0.0,-0.6115784286418343,-0.6115784286418343,0.0,1.0
1410,23:30,external,522,80,26,0.6538461538461539,1.8741167719179617,1.247827485615137,32.443514625993565,0.6153846153846154,0.2692307692307692
1410,23:30,development,782,168,51,0.6274509803921569,1.1048243340024544,0.14856683079112296,7.576908370347271,0.5098039215686274,0.39215686274509803
1410,23:30,reference_validation,410,76,21,0.7619047619047619,2.1748606411235105,1.0281992324930145,21.592183882353304,0.5714285714285714,0.3333333333333333
1410,23:30,august,14,0,0,,,,0.0,,
