clock,side,level,partition,k1,clean,clean_h2_rate,fills,fill_rate,h2,opposite,no_h2,h2_hit_rate,resolved_h2_wr,median_min_to_h2,median_mae_ru,tail_fraction,screen
SHORT_2000,SHORT,F10,POOLED_MAJOR,308,205,0.7317073170731707,135,0.6585365853658537,100,8,27,0.7407407407407407,0.9259259259259259,20.0,0.15121802679658838,0.7828443651794957,
SHORT_2000,SHORT,F15,external,96,60,0.75,42,0.7,29,4,9,0.6904761904761905,0.8787878787878788,30.0,0.17069198917024467,0.9396404739892034,
SHORT_2000,SHORT,F15,development,132,95,0.7578947368421053,67,0.7052631578947368,48,4,15,0.7164179104477612,0.9230769230769231,20.0,0.13516746411483302,0.8005226554267604,
SHORT_2000,SHORT,F15,reference_validation,80,50,0.66,33,0.66,17,5,11,0.5151515151515151,0.7727272727272727,20.0,0.2887755102040822,1.1073144817720917,
SHORT_2000,SHORT,F15,august,6,5,1.0,3,0.6,3,0,0,1.0,1.0,25.0,0.1798076923076882,0.4819349161653652,
SHORT_2000,SHORT,F15,POOLED_MAJOR,308,205,0.7317073170731707,142,0.6926829268292682,94,13,35,0.6619718309859155,0.8785046728971962,25.0,0.1692512077294636,0.9691814841436582,
SHORT_2000,SHORT,F20,external,96,60,0.75,38,0.6333333333333333,24,5,9,0.631578947368421,0.8275862068965517,50.0,0.18709051829029114,1.1402785283899763,
SHORT_2000,SHORT,F20,development,132,95,0.7578947368421053,53,0.5578947368421052,34,4,15,0.6415094339622641,0.8947368421052632,50.0,0.16053593179050224,0.859799810676216,
SHORT_2000,SHORT,F20,reference_validation,80,50,0.66,31,0.62,15,5,11,0.4838709677419355,0.75,20.0,0.29861660079051733,1.1078032329340675,
SHORT_2000,SHORT,F20,august,6,5,1.0,3,0.6,3,0,0,1.0,1.0,25.0,0.12980769230768818,0.5098883271470673,
SHORT_2000,SHORT,F20,POOLED_MAJOR,308,205,0.7317073170731707,122,0.5951219512195122,73,14,35,0.5983606557377049,0.8390804597701149,40.0,0.1967492854578489,1.1038777335098822,
SHORT_2000,SHORT,F25,external,96,60,0.75,32,0.5333333333333333,18,5,9,0.5625,0.782608695652174,60.0,0.1830496770598375,1.1645667129105035,
SHORT_2000,SHORT,F25,development,132,95,0.7578947368421053,44,0.4631578947368421,25,4,15,0.5681818181818182,0.8620689655172413,65.0,0.16966327697459654,0.9079192103044215,
SHORT_2000,SHORT,F25,reference_validation,80,50,0.66,29,0.58,12,5,12,0.41379310344827586,0.7058823529411765,27.5,0.286947218259625,1.114067508187361,
SHORT_2000,SHORT,F25,august,6,5,1.0,3,0.6,3,0,0,1.0,1.0,25.0,0.10412474849094189,0.5147517383837181,
SHORT_2000,SHORT,F25,POOLED_MAJOR,308,205,0.7317073170731707,105,0.5121951219512195,55,14,36,0.5238095238095238,0.7971014492753623,60.0,0.20039370078739227,1.1200019548514546,
