zone,filter,partition,raw_n,filtered_n,accepted_n,blocked_open,filter_retention,accepted_retention,zone_wins,zone_wr,zone_pf,zone_expectancy,zone_total_net,portfolio_candidates,portfolio_accepted,portfolio_skipped_open,portfolio_wr,portfolio_pf,portfolio_expectancy,portfolio_total_net
RAW_2330,K1_SECOND_HALF,august,0,0,0,0,,,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,RR_GE_050,external,20,17,16,1,0.85,0.8,12,0.75,3.511524985078986,1.8486028865493291,29.577646184789266,64,63,1,0.7619047619047619,2.8856763062794295,1.921305139411689,121.0422237829364
RAW_2330,RR_GE_050,development,31,28,28,0,0.9032258064516129,0.9032258064516129,18,0.6428571428571429,1.3166265884712054,0.22548422663232162,6.3135583457050055,88,88,0,0.6818181818181818,1.3878422708928317,0.4499375570705198,39.594505022205745
RAW_2330,RR_GE_050,reference_validation,19,17,17,0,0.8947368421052632,0.8947368421052632,12,0.7058823529411765,1.8551932354416454,0.6524704773314046,11.091998114633878,40,40,0,0.8,2.365255521558088,0.8084840046881372,32.339360187525486
RAW_2330,RR_GE_050,august,0,0,0,0,,,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,TOUCH_FIRST_HALF__RR_GE_050,external,20,11,11,0,0.55,0.55,9,0.8181818181818182,3.368402258305111,1.960169003703015,21.561859040733165,58,58,0,0.7758620689655172,2.837303888319701,1.9487316661875909,113.02643663888027
RAW_2330,TOUCH_FIRST_HALF__RR_GE_050,development,31,23,23,0,0.7419354838709677,0.7419354838709677,15,0.6521739130434783,1.4383768702600261,0.3079535449489655,7.082931533826207,83,83,0,0.6867469879518072,1.4105930269306148,0.4863117856665898,40.36387821032695
RAW_2330,TOUCH_FIRST_HALF__RR_GE_050,reference_validation,19,12,12,0,0.631578947368421,0.631578947368421,9,0.75,2.994733554977108,1.0770003462041406,12.924004154449689,35,35,0,0.8285714285714286,2.987134593965154,0.9763247493526086,34.1713662273413
RAW_2330,TOUCH_FIRST_HALF__RR_GE_050,august,0,0,0,0,,,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,TOUCH_SECOND_HALF__RR_GE_050,external,20,6,5,1,0.3,0.25,3,0.6,3.9990231427805623,1.6031574288112196,8.015787144056098,53,52,1,0.75,2.8058975742621857,1.9130839373500617,99.48036474220321
