role,partition,loss_class,episode_class,n,gross_loss,gross_loss_5bps,median_loss,q90_loss,h2_eligible_rate,latent_target_rate
REF_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,25,83.05149673310581,93.55149673310581,2.00296044800069,5.496018329748057,0.68,0.0
REF_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,20,60.66745177975025,69.91745177975025,1.3443735014878055,7.023727647332469,0.85,1.0
REF_SUPPORT,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,16,371.40815022000254,375.40815022000254,18.900141514695186,33.589532879707534,0.0,0.0
REF_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,15,36.912782507434244,43.41278250743424,1.6446548716671505,4.8858615567245565,0.7333333333333333,1.0
REF_SUPPORT,external,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,5,52.74915439996214,54.24915439996215,11.58201381384194,16.855818856385397,0.2,1.0
REF_SUPPORT,external,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,14,29.886859135028978,36.636859135028985,1.6922522915952531,3.995268370154937,0.9285714285714286,1.0
REF_SUPPORT,external,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,7,87.01502161463092,89.01502161463092,13.98597520259648,19.78092709534518,0.14285714285714285,0.0
REF_SUPPORT,external,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,10,67.89159702793518,72.14159702793518,2.969573336820658,9.39985270574438,0.7,0.0
REF_SUPPORT,external,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,12,21.200356395156604,26.450356395156604,0.9045713806846434,3.1548894109002084,0.75,1.0
REF_SUPPORT,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,4,63.90174913990698,65.40174913990698,16.687779107573967,19.503812804878184,0.5,1.0
REF_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,7,50.21810993112924,53.21810993112924,1.4092039081921026,20.522459039892674,0.7142857142857143,0.0
REF_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,6,6.81001884283744,9.56001884283744,0.740371651061722,2.415706082164432,0.8333333333333334,1.0
REF_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,12,31.80128979605751,35.30128979605751,2.1256206975791283,4.5333912761152675,0.16666666666666666,1.0
REF_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,19,27.29924423086294,36.54924423086294,1.149080735411645,3.1365515240036497,0.9473684210526315,1.0
REF_SUPPORT,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,8,48.932050161918596,52.182050161918596,5.732169777468876,8.125009900789314,0.625,1.0
REF_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,11,37.67736278709794,42.67736278709794,1.2524169449815714,7.915103189493456,0.8181818181818182,0.0
REF_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,21,25.772826003130692,36.27282600313069,1.2124406958354816,1.8906108537040667,1.0,1.0
REF_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,24,68.90358891259035,80.15358891259035,1.3473720410662193,8.320825598046596,0.875,0.0
REF_SUPPORT,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,13,170.00021700727274,174.00021700727274,12.392241379310333,21.355302386356417,0.23076923076923078,0.0
REF_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,13,22.26487656338344,27.76487656338344,1.149981842391956,1.9972970475030665,0.6923076923076923,0.0
REF_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,7,6.485905040567008,9.735905040567008,0.5166356685264439,1.7359218990810725,0.8571428571428571,1.0
REF_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,17,118.5206500321505,123.02065003215053,6.7676916286597,13.919861074223673,0.058823529411764705,0.0
REF_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,5,4.6825093483279785,7.182509348327979,0.7936507936509574,1.763348571289436,1.0,0.0
