episode_id,partition,origin_state,outcome,transition,resume,n_intervals,first_sideways_ts,age2_source_start,age2_source_end,frozen_boundary,path_class,first_break_pos,first_reclaim_pos,first_rebreak_pos,break_to_reclaim_min,reclaim_to_rebreak_min,confirmation_bar_start,confirmation_complete_ts,eligible_open_ts,exit_effective_ts,confirmation_to_exit_hours,eligible_before_exit,age2_final_4h_beyond
779,development,BULL,TRANSITION,True,False,2,2022-08-09 12:00:00+00:00,2022-08-09 12:00:00+00:00,2022-08-09 16:00:00+00:00,22746.9,NO_BREAK,,,,,,,,,2022-08-09 20:00:00+00:00,,False,False
784,development,BULL,RESUME,False,True,2,2022-08-14 20:00:00+00:00,2022-08-14 20:00:00+00:00,2022-08-15 00:00:00+00:00,23560.0,NO_BREAK,,,,,,,,,2022-08-15 04:00:00+00:00,,False,False
786,development,BULL,TRANSITION,True,False,2,2022-08-15 08:00:00+00:00,2022-08-15 08:00:00+00:00,2022-08-15 12:00:00+00:00,24138.0,FAILED_RECLAIM,1.0,24.0,26.0,115.0,10.0,2022-08-15 10:05:00+00:00,2022-08-15 10:10:00+00:00,2022-08-15 10:10:00+00:00,2022-08-15 16:00:00+00:00,5.833333333333333,True,True
788,development,BEAR,RESUME,False,True,2,2022-08-23 20:00:00+00:00,2022-08-23 20:00:00+00:00,2022-08-24 00:00:00+00:00,21550.0,FAILED_RECLAIM,3.0,4.0,6.0,5.0,10.0,2022-08-23 20:25:00+00:00,2022-08-23 20:30:00+00:00,2022-08-23 20:30:00+00:00,2022-08-24 04:00:00+00:00,7.5,True,False
798,development,BEAR,RESUME,False,True,4,2022-08-30 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-08-30 04:00:00+00:00,20140.0,FAILED_RECLAIM,1.0,20.0,22.0,95.0,10.0,2022-08-30 01:45:00+00:00,2022-08-30 01:50:00+00:00,2022-08-30 01:50:00+00:00,2022-08-30 16:00:00+00:00,14.166666666666666,True,True
800,development,BEAR,RESUME,False,True,3,2022-08-31 04:00:00+00:00,2022-08-31 04:00:00+00:00,2022-08-31 08:00:00+00:00,20440.0,NO_BREAK,,,,,,,,,2022-08-31 16:00:00+00:00,,False,False
804,development,BEAR,RESUME,False,True,3,2022-09-02 00:00:00+00:00,2022-09-02 00:00:00+00:00,2022-09-02 04:00:00+00:00,20440.0,NO_BREAK,,,,,,,,,2022-09-02 12:00:00+00:00,,False,False
810,development,BEAR,RESUME,False,True,2,2022-09-06 08:00:00+00:00,2022-09-06 08:00:00+00:00,2022-09-06 12:00:00+00:00,20046.7,NO_BREAK,,,,,,,,,2022-09-06 16:00:00+00:00,,False,False
814,development,BEAR,TRANSITION,True,False,2,2022-09-08 20:00:00+00:00,2022-09-08 20:00:00+00:00,2022-09-09 00:00:00+00:00,19455.0,NO_BREAK,,,,,,,,,2022-09-09 04:00:00+00:00,,False,False
824,development,BEAR,TRANSITION,True,False,2,2022-09-22 20:00:00+00:00,2022-09-22 20:00:00+00:00,2022-09-23 00:00:00+00:00,20154.1,NO_BREAK,,,,,,,,,2022-09-23 04:00:00+00:00,,False,False
827,development,BEAR,RESUME,False,True,2,2022-09-24 00:00:00+00:00,2022-09-24 00:00:00+00:00,2022-09-24 04:00:00+00:00,19504.8,NO_BREAK,,,,,,,,,2022-09-24 08:00:00+00:00,,False,False
829,development,BEAR,RESUME,False,True,2,2022-09-24 16:00:00+00:00,2022-09-24 16:00:00+00:00,2022-09-24 20:00:00+00:00,19504.8,NO_BREAK,,,,,,,,,2022-09-25 00:00:00+00:00,,False,False
831,development,BEAR,RESUME,False,True,2,2022-09-25 08:00:00+00:00,2022-09-25 08:00:00+00:00,2022-09-25 12:00:00+00:00,19504.8,NO_BREAK,,,,,,,,,2022-09-25 16:00:00+00:00,,False,False
835,development,BULL,TRANSITION,True,False,3,2022-09-27 20:00:00+00:00,2022-09-27 20:00:00+00:00,2022-09-28 00:00:00+00:00,18621.0,NO_BREAK,,,,,,,,,2022-09-28 08:00:00+00:00,,False,False
841,development,BULL,TRANSITION,True,False,4,2022-10-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,2022-10-01 04:00:00+00:00,18621.0,NO_BREAK,,,,,,,,,2022-10-01 16:00:00+00:00,,False,False
850,development,BEAR,TRANSITION,True,False,2,2022-10-13 20:00:00+00:00,2022-10-13 20:00:00+00:00,2022-10-14 00:00:00+00:00,19260.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-10-14 04:00:00+00:00,,False,True
852,development,BULL,TRANSITION,True,False,3,2022-10-14 20:00:00+00:00,2022-10-14 20:00:00+00:00,2022-10-15 00:00:00+00:00,17917.8,NO_BREAK,,,,,,,,,2022-10-15 08:00:00+00:00,,False,False
858,development,BULL,TRANSITION,True,False,4,2022-10-18 16:00:00+00:00,2022-10-18 16:00:00+00:00,2022-10-18 20:00:00+00:00,19059.6,NO_BREAK,,,,,,,,,2022-10-19 08:00:00+00:00,,False,False
860,development,BEAR,RESUME,False,True,2,2022-10-21 16:00:00+00:00,2022-10-21 16:00:00+00:00,2022-10-21 20:00:00+00:00,19350.0,NO_BREAK,,,,,,,,,2022-10-22 00:00:00+00:00,,False,False
862,development,BEAR,TRANSITION,True,False,3,2022-10-22 12:00:00+00:00,2022-10-22 12:00:00+00:00,2022-10-22 16:00:00+00:00,19240.0,NO_BREAK,,,,,,,,,2022-10-23 00:00:00+00:00,,False,False
867,development,BULL,RESUME,False,True,2,2022-10-28 08:00:00+00:00,2022-10-28 08:00:00+00:00,2022-10-28 12:00:00+00:00,19122.0,NO_BREAK,,,,,,,,,2022-10-28 16:00:00+00:00,,False,False
869,development,BULL,RESUME,False,True,2,2022-10-31 04:00:00+00:00,2022-10-31 04:00:00+00:00,2022-10-31 08:00:00+00:00,19951.0,NO_BREAK,,,,,,,,,2022-10-31 12:00:00+00:00,,False,False
876,development,BULL,TRANSITION,True,False,2,2022-11-07 00:00:00+00:00,2022-11-07 00:00:00+00:00,2022-11-07 04:00:00+00:00,21133.8,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-11-07 08:00:00+00:00,,False,True
878,development,BEAR,RESUME,False,True,2,2022-11-15 04:00:00+00:00,2022-11-15 04:00:00+00:00,2022-11-15 08:00:00+00:00,17188.0,NO_BREAK,,,,,,,,,2022-11-15 12:00:00+00:00,,False,False
880,development,BEAR,TRANSITION,True,False,2,2022-11-15 16:00:00+00:00,2022-11-15 16:00:00+00:00,2022-11-15 20:00:00+00:00,17188.0,NO_BREAK,,,,,,,,,2022-11-16 00:00:00+00:00,,False,False
884,development,BEAR,TRANSITION,True,False,3,2022-11-18 00:00:00+00:00,2022-11-18 00:00:00+00:00,2022-11-18 04:00:00+00:00,17188.0,NO_BREAK,,,,,,,,,2022-11-18 12:00:00+00:00,,False,False
888,development,BEAR,RESUME,False,True,3,2022-11-20 00:00:00+00:00,2022-11-20 00:00:00+00:00,2022-11-20 04:00:00+00:00,16984.4,NO_BREAK,,,,,,,,,2022-11-20 12:00:00+00:00,,False,False
892,development,BEAR,TRANSITION,True,False,2,2022-11-23 00:00:00+00:00,2022-11-23 00:00:00+00:00,2022-11-23 04:00:00+00:00,16814.5,NO_BREAK,,,,,,,,,2022-11-23 08:00:00+00:00,,False,False
896,development,BULL,RESUME,False,True,2,2022-11-26 20:00:00+00:00,2022-11-26 20:00:00+00:00,2022-11-27 00:00:00+00:00,16331.7,NO_BREAK,,,,,,,,,2022-11-27 04:00:00+00:00,,False,False
900,development,BEAR,TRANSITION,True,False,4,2022-11-29 08:00:00+00:00,2022-11-29 08:00:00+00:00,2022-11-29 12:00:00+00:00,16390.4,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-11-30 00:00:00+00:00,,False,True
904,development,BULL,TRANSITION,True,False,4,2022-12-05 20:00:00+00:00,2022-12-05 20:00:00+00:00,2022-12-06 00:00:00+00:00,16881.4,NO_BREAK,,,,,,,,,2022-12-06 12:00:00+00:00,,False,False
