event_type,decision_bar_start,effective_bar_start,old_floor,new_floor,zone,partition,entry_bar_start,execution_end,active_open,active_low,classification,old_floor_protects_open
RATCHET,2023-04-26 12:20:00+00:00,2023-04-26 12:25:00+00:00,29178.9,29258.8,RAW_0530,development,2023-04-26 12:10:00+00:00,2023-04-26 17:30:00+00:00,29397.2,29360.0,NO_IMMEDIATE_CROSS,False
RATCHET,2023-04-26 12:25:00+00:00,2023-04-26 12:30:00+00:00,29258.8,29658.3,RAW_0530,development,2023-04-26 12:10:00+00:00,2023-04-26 17:30:00+00:00,29739.0,29617.5,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2023-07-12 06:25:00+00:00,2023-07-12 06:30:00+00:00,,30709.4,RAW_2330,development,2023-07-12 06:05:00+00:00,2023-07-12 11:30:00+00:00,30729.3,30682.3,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2023-07-28 12:05:00+00:00,2023-07-28 12:10:00+00:00,,29238.42,RAW_0530,development,2023-07-28 12:05:00+00:00,2023-07-28 17:30:00+00:00,29250.9,29247.3,NO_IMMEDIATE_CROSS,False
RATCHET,2023-07-28 12:25:00+00:00,2023-07-28 12:30:00+00:00,29238.42,29261.260000000002,RAW_0530,development,2023-07-28 12:05:00+00:00,2023-07-28 17:30:00+00:00,29274.5,29260.5,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2023-08-10 13:35:00+00:00,2023-08-10 13:40:00+00:00,,29628.38,RAW_0530,development,2023-08-10 13:35:00+00:00,2023-08-10 17:30:00+00:00,29637.2,29573.2,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2023-10-20 08:25:00+00:00,2023-10-20 08:30:00+00:00,,29484.0,RAW_2330,development,2023-10-20 08:10:00+00:00,2023-10-20 11:30:00+00:00,29589.1,29588.0,NO_IMMEDIATE_CROSS,False
RATCHET,2023-10-20 08:30:00+00:00,2023-10-20 08:35:00+00:00,29484.0,29568.0,RAW_2330,development,2023-10-20 08:10:00+00:00,2023-10-20 11:30:00+00:00,29721.4,29650.1,NO_IMMEDIATE_CROSS,False
RATCHET,2023-10-20 08:40:00+00:00,2023-10-20 08:45:00+00:00,29568.0,29652.0,RAW_2330,development,2023-10-20 08:10:00+00:00,2023-10-20 11:30:00+00:00,29806.2,29726.5,NO_IMMEDIATE_CROSS,False
ARM,2023-10-23 16:45:00+00:00,2023-10-23 16:50:00+00:00,,31055.7,RAW_0530,development,2023-10-23 16:40:00+00:00,2023-10-23 17:30:00+00:00,31108.2,31057.5,NO_IMMEDIATE_CROSS,False
RATCHET,2023-10-23 16:50:00+00:00,2023-10-23 16:55:00+00:00,31055.7,31121.4,RAW_0530,development,2023-10-23 16:40:00+00:00,2023-10-23 17:30:00+00:00,31189.9,31151.2,NO_IMMEDIATE_CROSS,False
ARM,2023-11-17 12:55:00+00:00,2023-11-17 13:00:00+00:00,,36499.0,RAW_0530,development,2023-11-17 12:35:00+00:00,2023-11-17 17:30:00+00:00,36540.9,36467.7,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2024-01-30 12:00:00+00:00,2024-01-30 12:05:00+00:00,,43527.1,RAW_0530,development,2024-01-30 11:25:00+00:00,2024-01-30 17:30:00+00:00,43553.4,43538.6,NO_IMMEDIATE_CROSS,False
RATCHET,2024-01-30 12:05:00+00:00,2024-01-30 12:10:00+00:00,43527.1,43586.5,RAW_0530,development,2024-01-30 11:25:00+00:00,2024-01-30 17:30:00+00:00,43626.6,43618.0,NO_IMMEDIATE_CROSS,False
