role,partition,dev_block,execution_start,component,parent_entry_ts,entry_ts,exit_ts,exit_reason,baseline_pnl,baseline_pnl_5bps,outcome,H,L,R,e20_ts,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mfe_R_at_E20,running_mae_R_to_E20,closes_gt_H_to_E20,closes_ge_E10_to_E20
CLOCK_SUPPORT,reference_validation,,2025-04-30 17:00:00+00:00,REC_H2,2025-04-30 17:50:00+00:00,2025-04-30 19:30:00+00:00,2025-04-30 20:10:00+00:00,TARGET,6.364765980947151,6.114765980947151,E20_TO_E40_CONTINUATION,144.86,140.25,4.610000000000014,2025-04-30 19:50:00+00:00,20.0,10.0,0.19305856832971446,-0.006941431670285547,0.20390455531453253,0.07809110629067519,3,2
CLOCK_SUPPORT,reference_validation,,2025-05-11 17:00:00+00:00,REC_H2,2025-05-12 00:25:00+00:00,2025-05-12 00:55:00+00:00,2025-05-12 01:30:00+00:00,FAILED_BREAK,-0.4009393436050779,-0.6509393436050779,E20_STALLER,174.59,169.13,5.460000000000008,2025-05-12 01:05:00+00:00,10.0,5.0,0.17582417582417703,-0.02417582417582298,0.21245421245421153,0.06593406593406834,2,1
CLOCK_SUPPORT,reference_validation,,2025-05-19 17:00:00+00:00,REC_H2,2025-05-19 17:00:00+00:00,2025-05-19 19:30:00+00:00,2025-05-19 21:10:00+00:00,FAILED_BREAK,-0.48288766825616,-0.73288766825616,E20_STALLER,165.67,160.49,5.179999999999978,2025-05-19 19:40:00+00:00,10.0,10.0,0.06756756756757223,-0.13243243243242778,0.20077220077220556,0.17374517374517007,3,1
CLOCK_SUPPORT,reference_validation,,2025-06-02 17:00:00+00:00,REC_H2,2025-06-02 18:20:00+00:00,2025-06-02 20:10:00+00:00,2025-06-02 21:35:00+00:00,FAILED_BREAK,-0.647584509778476,-0.897584509778476,E20_STALLER,154.42,151.52,2.8999999999999773,2025-06-02 21:05:00+00:00,55.0,5.0,0.14827586206896903,-0.05172413793103098,0.24827586206896707,0.2620689655172403,2,1
CLOCK_SUPPORT,reference_validation,,2025-06-18 17:00:00+00:00,REC_H2,2025-06-18 20:45:00+00:00,2025-06-19 00:25:00+00:00,2025-06-19 01:05:00+00:00,FAILED_BREAK,-1.977092991546248,-2.227092991546248,E20_STALLER,146.68,143.69,2.990000000000009,2025-06-19 00:25:00+00:00,0.0,0.0,0.15384615384614653,-0.046153846153853484,0.22408026755852356,0.04013377926421544,1,1
CLOCK_SUPPORT,reference_validation,,2025-07-20 17:00:00+00:00,REC_H2,2025-07-20 19:10:00+00:00,2025-07-21 02:50:00+00:00,2025-07-21 02:55:00+00:00,TARGET,3.514324693042359,3.264324693042359,E20_TO_E40_CONTINUATION,183.25,180.03,3.219999999999999,2025-07-21 02:55:00+00:00,5.0,0.0,0.3478260869565233,0.14782608695652327,0.4565217391304346,0.2484472049689477,1,1
CLOCK_SUPPORT,reference_validation,,2025-07-27 17:00:00+00:00,REC_H2,2025-07-27 22:10:00+00:00,2025-07-28 00:15:00+00:00,2025-07-28 00:45:00+00:00,FAILED_BREAK,-0.7116499736425363,-0.9616499736425363,E20_STALLER,189.7,184.8,4.899999999999977,2025-07-28 00:25:00+00:00,10.0,10.0,0.2448979591836781,0.04489795918367809,0.28367346938775945,0.18163265306122256,3,1
CLOCK_SUPPORT,reference_validation,,2025-08-04 17:00:00+00:00,REC_H2,2025-08-04 17:00:00+00:00,2025-08-04 20:35:00+00:00,2025-08-05 02:15:00+00:00,FAILED_BREAK,-0.4461629982153714,-0.6961629982153714,E20_STALLER,168.1,163.1,5.0,2025-08-04 22:15:00+00:00,100.0,45.0,0.15,-0.05000000000000002,0.20400000000000204,0.2839999999999975,10,4
CLOCK_SUPPORT,reference_validation,,2025-08-08 17:00:00+00:00,REC_H2,2025-08-08 17:55:00+00:00,2025-08-09 05:00:00+00:00,2025-08-09 05:15:00+00:00,TARGET,5.495978552278791,5.245978552278791,E20_TO_E40_CONTINUATION,179.04,174.12,4.919999999999988,2025-08-09 05:05:00+00:00,5.0,5.0,0.22560975609756428,0.025609756097564274,0.32520325203251993,0.18089430894308708,2,2
CLOCK_SUPPORT,reference_validation,,2025-08-20 17:00:00+00:00,REC_H2,2025-08-20 17:40:00+00:00,2025-08-20 19:20:00+00:00,2025-08-21 00:05:00+00:00,TARGET,8.172972972972925,7.922972972972925,E20_TO_E40_CONTINUATION,185.0,177.44,7.560000000000002,2025-08-20 19:45:00+00:00,25.0,25.0,0.2248677248677233,0.02486772486772329,0.23015873015873128,0.060846560846561884,6,3
