t,period,gt,v1,broad,bull,ret4,acc,distLow8,rv24,atr,distHigh8
1714705200000,DEV,TRANSITION,0,1,0,2.4764065203798147,2.0148389169107515,4.017712177121768,1.0613206346069342,1.696469114379771,-0.5559788897355644
1714737600000,DEV,TRANSITION,1,1,0,3.2714090207611513,2.2686716421097985,4.436101295641937,1.1234156488063871,1.658355671649909,-0.4302388422153469
1714741200000,DEV,SIDEWAYS,0,1,0,3.1593842954919404,2.3378057268123253,5.185512367491163,1.108953976478513,1.7073790127456068,-0.7246729244686612
1714744800000,DEV,TRANSITION,0,1,0,3.8519835602063734,3.1703183494773044,4.913133097762068,1.0401022662428785,1.7284517410820814,-1.0154470189475906
1714748400000,DEV,TRANSITION,0,1,0,3.769310591777364,3.5195660123699346,4.534746760895159,1.0438953704476537,1.657344064386321,-1.3724509640495652
1714816800000,DEV,TRANSITION,1,1,0,3.333124969613599,2.0501788003037964,3.7460078378868333,0.962147093828868,1.1056742260280392,-0.14899328859060423
1714824000000,DEV,TRANSITION,1,0,0,2.1255738497117926,1.2424889273807103,2.9980226696744383,0.7819366539975867,1.2155034387922017,-0.768714784008595
1714982400000,DEV,TRANSITION,1,1,0,4.420300639976182,2.362676148420828,6.218172809601152,0.858080397778833,1.1028595122095703,-0.2533216150545359
1714986000000,DEV,TRANSITION,1,1,0,5.158751513520787,2.6946110430877246,7.5786561700019295,0.8785226997374255,1.1575861530124671,-0.13734157808666936
1714989600000,DEV,SIDEWAYS,0,1,0,2.6030908760621863,0.898284332545966,4.9437088827107845,1.038977724594207,1.3824824355971908,-2.773350334714697
1714993200000,DEV,SIDEWAYS,0,1,0,3.569722616540738,1.6768987347415498,5.541539263139139,1.0496295747851367,1.4261122942794977,-1.8520879821485536
1715029200000,DEV,SIDEWAYS,1,1,0,2.6046959758206034,2.7855112222986533,3.1451505904205757,1.213603147581824,2.1274992718448846,-0.568523374048735
1715068800000,DEV,BEAR,1,1,0,2.190421502906581,1.3321116996961222,3.807888424281347,1.246362791222467,1.6715281460716707,-0.3567047277531432
1715072400000,DEV,BEAR,0,1,0,1.6145281702875103,1.2151224551197437,3.1236482323794945,1.2308501645978571,1.6535652546558566,-1.1621040994007292
1715137200000,DEV,BEAR,1,0,0,0.9857375465337048,2.0945274499269084,1.6111488783140837,0.8744452604515297,1.3725162239914324,-1.9174234867972095
1715173200000,DEV,BEAR,1,0,0,1.1681042455965018,1.3515122217108118,2.3538871021404173,0.7725919831541517,1.3710292199876954,-0.4463021640935816
1715212800000,DEV,SIDEWAYS,1,0,0,1.6424367066165457,2.1779082648387793,2.454750807765982,0.8885448895796778,1.6826276161637495,-3.824190572051678
1715216400000,DEV,SIDEWAYS,1,1,0,2.2571252470723335,3.0085857304991213,3.1788808509421562,0.902599208203936,1.634198459380841,-3.14443885254152
1715220000000,DEV,TRANSITION,0,1,0,1.8798586572438047,2.6745896427237716,3.050924999285165,0.8958837512703068,1.6087779451403188,-2.333270101081286
1715263200000,DEV,BULL,1,1,0,2.88720437059089,2.733902483798434,3.0511972106592733,0.9924551201511428,1.303561687616704,-0.18608754385117665
1715266800000,DEV,BULL,0,1,0,2.55474452554747,2.012366624207488,4.174049169246108,0.9864590659968371,1.3923597321251686,-0.9465493910690181
1715274000000,DEV,BULL,0,1,0,2.577059828102679,2.0871047156530245,4.2857651118938245,0.987415097571624,1.4629507966616797,-1.3383059792926089
1715277600000,DEV,BULL,1,1,0,1.9665384641942119,1.3215835167017818,5.077738641619511,0.9966955795815257,1.4651779002937984,-0.5890431246886485
1715281200000,DEV,BULL,1,1,0,2.9863183994644826,1.2303768237949209,6.515718827269512,1.0510556771260993,1.5272723138189754,-0.09276868129320937
1715284800000,DEV,BULL,0,1,0,2.790936473165395,1.2999256749910648,6.080536912751677,0.8179214027565669,1.5718310073551578,-0.8458907275584626
1715364000000,DEV,BEAR,1,0,0,0.39877654271587293,1.8680131896879706,2.095862068965504,1.0737885095954887,1.6378888574728847,-4.675466838377352
1715580000000,DEV,BULL,1,0,0,0.49907446959989166,1.3959199998486085,2.453912033676886,0.8191668799738773,1.3583274214751786,-3.2149468632156286
1715583600000,DEV,BULL,1,1,0,2.4138866286954164,2.7387083448214833,4.142836405864414,0.8428384980723954,1.4332706766917325,-1.619472060335958
